visit_date,"utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-30,admitad,cpa,admitad,72,,16,16,1542150
2023-06-01,yandex,cpc,freemium,84,21654,86,17,1223975
2023-06-24,telegram,cpp,base-java,2,,8,8,1209536
2023-06-01,yandex,cpc,prof-frontend,69,57138,70,10,862691
2023-06-20,admitad,cpa,admitad,44,,10,8,363280
2023-06-01,yandex,cpc,prof-python,54,33026,55,5,358756
2023-06-01,vk,cpc,freemium-frontend,93,3160,57,5,312471
2023-06-30,yandex,cpc,prof-frontend,167,53195,2,2,301725
2023-06-01,yandex,cpc,base-python,27,12524,27,4,280782
2023-06-01,vk,cpc,prof-python,77,2028,47,3,272823
2023-06-29,yandex,cpc,prof-python,198,45967,4,2,260095
2023-06-05,yandex,cpc,prof-frontend,1,62245,1,1,237990
2023-06-01,vk,cpc,prof-java,68,3115,42,2,232726
2023-06-01,yandex,cpc,prof-data-analytics,11,10086,11,2,220264
2023-06-01,yandex,cpc,dod-frontend,8,2871,8,3,203035
